Video_ID,Views,Likes,Dislikes
zvqldRdmcXk,27517,811,467
zvkBlw-jtS0,6159,96,26
zvXqSjBMMH8,18336,117,115
ztmGD7vfujw,20535,318,8
zqVUafhQ4xc,345530,5207,482
zqEJGznRnkk,74463,1016,848
zpF6RgdnlCs,120654,5395,42
zokY330yTFg,57278,826,17
zmubM-hDrDo,49591,196,22
zjiyMVpALr4,1052047,33966,163
zjauUcjAXh0,112665,672,428
zjHeOGwwMek,282901,1018,252
ziNjNBaFWm8,21422,504,90
ziIwxPCeByU,26800,884,607
zhbn56EwRGM,861918,15237,393
zhIny46oLnE,80995,411,38
zhCX5j_AC-8,939082,5703,300
zgEtrC63lgU,27166,877,37
zg0N4L4mwFk,4343142,44820,1980
zfZT81ZpbUk,71821,1192,51
zfSHxWq_Mi0,353136,7946,172
zfQXKVCudec,2591096,86153,841
zeq1cBzgnzA,611987,3117,141
zZYdZqWU7Yo,64873,1220,46
zY4egasPFm4,764172,17643,112
zWvZEYVa9A0,149309,1109,135
zWt5FktIlwA,90382,7915,798
zUjIrjlsV5c,29885,211,11
zU9aZo8EdjI,858464,24513,437
zTJbUVjS--M,949216,15739,471
zSV42j8lccg,6014785,127985,6059
zSIfJ6Jd_M4,107911,1084,15
zS9UW2xjdqE,10586248,155383,76382
zS46dM4WvBc,400875,12161,99
zR1FZgDuaEk,3688,186,4
zOzQZfBd9AU,102170,1466,102
zNscTvN6oHs,111774,966,95
zNd_8ygo9Ms,391589,6155,94
zNI_WDkDiiQ,128059,3319,65
zLiv3RPILWE,40535,371,43
zKAjnXG3m4A,390516,4482,204
zIdGmUPexos,50665,2298,51
zGv8mHYJtOM,59475,1287,1625
zEkYAzSpHnA,750001,4092,813
zC6Ybgl95Ic,174409,4609,98
zBsh7Byu044,223189,4387,92
zBV00x4xMrU,49025,1891,40
zB8HZvn2bFk,42112,407,42
zB56aovYmj0,107079,2074,240
zADDS2mwUWw,895394,43602,224
z9j6WcdU-ts,3150658,12336,611
z8IWdW4CLCg,45573,2127,29
